model,location,target_type,weights,forecast_date,nmod
IEM_Health-CovidProject,SK,Cases,0.359188137964878,2021-04-26,3
ILM-EKF,BE,Cases,0.274503516750809,2021-04-26,3
ILM-EKF,BG,Deaths,0.264902612196329,2021-04-26,3
ILM-EKF,CY,Cases,0.428704893814722,2021-04-26,3
ILM-EKF,GR,Cases,0.327818958780862,2021-04-26,3
ILM-EKF,HR,Cases,0.250684562554636,2021-04-26,3
ILM-EKF,IT,Deaths,0.30397475282504,2021-04-26,3
ILM-EKF,LT,Cases,0.284325692756336,2021-04-26,3
ILM-EKF,LV,Cases,0.275527438209229,2021-04-26,3
ILM-EKF,PT,Cases,0.374744006682078,2021-04-26,3
ILM-EKF,PT,Deaths,0.255790581222245,2021-04-26,3
ILM-EKF,RO,Cases,0.210934609056957,2021-04-26,3
ILM-EKF,RO,Deaths,0.187900180626911,2021-04-26,3
ILM-EKF,SI,Cases,0.305702110557332,2021-04-26,3
ILM-EKF,SK,Cases,0.24592863799197,2021-04-26,3
ILM-EKF,SK,Deaths,0.312320991545688,2021-04-26,3
RobertWalraven-ESG,BE,Deaths,0.270742590670943,2021-04-26,3
RobertWalraven-ESG,BG,Deaths,0.331559743885167,2021-04-26,3
RobertWalraven-ESG,FI,Deaths,0.392362019801947,2021-04-26,3
RobertWalraven-ESG,GR,Deaths,0.408169086954568,2021-04-26,3
RobertWalraven-ESG,PT,Deaths,0.360435199878172,2021-04-26,3
RobertWalraven-ESG,RO,Deaths,0.601230763265732,2021-04-26,3
RobertWalraven-ESG,SI,Deaths,0.339701500696152,2021-04-26,3
UMass-MechBayes,BE,Deaths,0.37604656538672,2021-04-26,3
UMass-MechBayes,BG,Deaths,0.403537643918503,2021-04-26,3
UMass-MechBayes,CY,Deaths,0.372574798777375,2021-04-26,3
UMass-MechBayes,EE,Deaths,0.302944723569709,2021-04-26,3
UMass-MechBayes,HR,Deaths,0.28227414494271,2021-04-26,3
UMass-MechBayes,HU,Deaths,0.370075494042656,2021-04-26,3
UMass-MechBayes,LT,Deaths,0.371883035202701,2021-04-26,3
UMass-MechBayes,LV,Deaths,0.2921592717766,2021-04-26,3
UMass-MechBayes,MT,Deaths,0.259320592829621,2021-04-26,3
UMass-MechBayes,SI,Deaths,0.367138368287822,2021-04-26,3
UMass-MechBayes,SK,Deaths,0.33219471106661,2021-04-26,3
UMass-SemiMech,AT,Cases,0.357817743592404,2021-04-26,3
UMass-SemiMech,AT,Deaths,0.36144916682403,2021-04-26,3
UMass-SemiMech,BE,Cases,0.436445491162527,2021-04-26,3
UMass-SemiMech,BE,Deaths,0.353210843942337,2021-04-26,3
UMass-SemiMech,BG,Cases,0.310350799852105,2021-04-26,3
UMass-SemiMech,CY,Deaths,0.329956060500508,2021-04-26,3
UMass-SemiMech,EE,Cases,0.180132289119067,2021-04-26,3
UMass-SemiMech,EE,Deaths,0.410933600507818,2021-04-26,3
UMass-SemiMech,ES,Cases,0.238117100767356,2021-04-26,3
UMass-SemiMech,FI,Cases,0.300178006779757,2021-04-26,3
UMass-SemiMech,GR,Cases,0.359519008800697,2021-04-26,3
UMass-SemiMech,HR,Cases,0.492284778007411,2021-04-26,3
UMass-SemiMech,HR,Deaths,0.367195180139628,2021-04-26,3
UMass-SemiMech,HU,Cases,0.21769275634465,2021-04-26,3
UMass-SemiMech,HU,Deaths,0.348376601561058,2021-04-26,3
UMass-SemiMech,LT,Cases,0.385439998348396,2021-04-26,3
UMass-SemiMech,LT,Deaths,0.376464184395258,2021-04-26,3
UMass-SemiMech,LU,Deaths,0.341827067579102,2021-04-26,3
UMass-SemiMech,LV,Cases,0.304512558981058,2021-04-26,3
UMass-SemiMech,LV,Deaths,0.416813255306506,2021-04-26,3
UMass-SemiMech,MT,Cases,0.453411221785589,2021-04-26,3
UMass-SemiMech,NO,Cases,0.356835496407443,2021-04-26,3
UMass-SemiMech,PT,Cases,0.350471469548299,2021-04-26,3
UMass-SemiMech,RO,Cases,0.250565911721201,2021-04-26,3
UMass-SemiMech,SI,Cases,0.386693193100692,2021-04-26,3
UMass-SemiMech,SI,Deaths,0.293160131016026,2021-04-26,3
UMass-SemiMech,SK,Cases,0.394883224043151,2021-04-26,3
UMass-SemiMech,SK,Deaths,0.355484297387701,2021-04-26,3
UNIPV-BayesINGARCHX,ES,Cases,0.291439787042434,2021-04-26,3
epiforecasts-EpiExpert,IT,Cases,0.303266681941415,2021-04-26,3
epiforecasts-EpiExpert,IT,Deaths,0.258461589818916,2021-04-26,3
epiforecasts-EpiNow2,AT,Cases,0.32507499648505,2021-04-26,3
epiforecasts-EpiNow2,AT,Deaths,0.347800514628042,2021-04-26,3
epiforecasts-EpiNow2,BG,Cases,0.466525551535988,2021-04-26,3
epiforecasts-EpiNow2,CY,Cases,0.268175206872193,2021-04-26,3
epiforecasts-EpiNow2,CY,Deaths,0.297469140722117,2021-04-26,3
epiforecasts-EpiNow2,EE,Cases,0.418999226791816,2021-04-26,3
epiforecasts-EpiNow2,EE,Deaths,0.286121675922472,2021-04-26,3
epiforecasts-EpiNow2,FI,Cases,0.380009457766228,2021-04-26,3
epiforecasts-EpiNow2,FI,Deaths,0.323579867915207,2021-04-26,3
epiforecasts-EpiNow2,GR,Deaths,0.287823871738609,2021-04-26,3
epiforecasts-EpiNow2,HR,Cases,0.257030659437953,2021-04-26,3
epiforecasts-EpiNow2,HR,Deaths,0.350530674917662,2021-04-26,3
epiforecasts-EpiNow2,HU,Cases,0.372038541509255,2021-04-26,3
epiforecasts-EpiNow2,HU,Deaths,0.281547904396285,2021-04-26,3
epiforecasts-EpiNow2,IT,Cases,0.40634663716345,2021-04-26,3
epiforecasts-EpiNow2,IT,Deaths,0.437563657356045,2021-04-26,3
epiforecasts-EpiNow2,LU,Deaths,0.307640657602046,2021-04-26,3
epiforecasts-EpiNow2,LV,Deaths,0.291027472916894,2021-04-26,3
epiforecasts-EpiNow2,MT,Cases,0.238813753085824,2021-04-26,3
epiforecasts-EpiNow2,MT,Deaths,0.472561312253115,2021-04-26,3
epiforecasts-EpiNow2,NO,Cases,0.433882905172582,2021-04-26,3
epiforecasts-EpiNow2,RO,Cases,0.538499479221842,2021-04-26,3
