location,target_type,forecast_date,model,nmod
BE,Cases,2021-12-13,RobertWalraven-ESG,3
BE,Cases,2021-12-20,epiforecasts-EpiNow2,3
BE,Cases,2021-12-20,MUNI-ARIMA,3
BE,Cases,2021-12-20,RobertWalraven-ESG,3
BE,Cases,2021-12-27,epiforecasts-EpiNow2,3
BE,Cases,2021-12-27,MUNI-ARIMA,3
BE,Cases,2021-12-27,MUNI-VAR,3
BE,Cases,2022-01-03,ILM-EKF,3
BE,Cases,2022-01-03,epiforecasts-EpiNow2,3
BE,Cases,2022-01-03,RobertWalraven-ESG,3
BE,Cases,2022-01-10,ILM-EKF,3
BE,Cases,2022-01-10,epiforecasts-EpiNow2,3
BE,Cases,2022-01-10,RobertWalraven-ESG,3
BE,Cases,2022-01-17,IEM_Health-CovidProject,3
BE,Cases,2022-01-17,ILM-EKF,3
BE,Cases,2022-01-17,epiforecasts-EpiNow2,3
BE,Cases,2022-01-24,IEM_Health-CovidProject,3
BE,Cases,2022-01-24,ILM-EKF,3
BE,Cases,2022-01-24,epiforecasts-EpiNow2,3
BE,Cases,2022-01-31,IEM_Health-CovidProject,3
BE,Cases,2022-01-31,ILM-EKF,3
BE,Cases,2022-01-31,RobertWalraven-ESG,3
BE,Cases,2022-02-07,IEM_Health-CovidProject,3
BE,Cases,2022-02-07,RobertWalraven-ESG,3
BE,Cases,2022-02-07,epiforecasts-weeklygrowth,3
BE,Cases,2022-02-14,epiforecasts-EpiNow2,3
BE,Cases,2022-02-14,RobertWalraven-ESG,3
BE,Cases,2022-02-14,epiforecasts-weeklygrowth,3
BE,Cases,2022-02-21,epiforecasts-EpiNow2,3
BE,Cases,2022-02-21,RobertWalraven-ESG,3
BE,Cases,2022-02-21,epiforecasts-weeklygrowth,3
BE,Cases,2022-02-28,ILM-EKF,3
BE,Cases,2022-02-28,epiforecasts-EpiNow2,3
BE,Cases,2022-02-28,RobertWalraven-ESG,3
BE,Cases,2022-03-07,IEM_Health-CovidProject,3
BE,Cases,2022-03-07,ILM-EKF,3
BE,Cases,2022-03-07,epiforecasts-EpiNow2,3
BE,Deaths,2021-04-12,IEM_Health-CovidProject,3
BE,Deaths,2021-04-12,ILM-EKF,3
BE,Deaths,2021-04-12,RobertWalraven-ESG,3
BE,Deaths,2021-04-19,IEM_Health-CovidProject,3
BE,Deaths,2021-04-19,UMass-MechBayes,3
BE,Deaths,2021-04-19,UMass-SemiMech,3
BE,Deaths,2021-04-26,RobertWalraven-ESG,3
BE,Deaths,2021-04-26,UMass-MechBayes,3
BE,Deaths,2021-04-26,UMass-SemiMech,3
BE,Deaths,2021-05-03,IEM_Health-CovidProject,3
BE,Deaths,2021-05-03,RobertWalraven-ESG,3
BE,Deaths,2021-05-03,epiforecasts-EpiExpert,3
BE,Deaths,2021-05-10,IEM_Health-CovidProject,3
BE,Deaths,2021-05-10,epiforecasts-EpiExpert,3
BE,Deaths,2021-05-10,epiforecasts-EpiNow2,3
BE,Deaths,2021-05-17,IEM_Health-CovidProject,3
BE,Deaths,2021-05-17,RobertWalraven-ESG,3
BE,Deaths,2021-05-17,epiforecasts-EpiNow2,3
BE,Deaths,2021-05-24,RobertWalraven-ESG,3
BE,Deaths,2021-05-24,epiforecasts-EpiNow2,3
BE,Deaths,2021-05-24,UMass-MechBayes,3
BE,Deaths,2021-05-31,RobertWalraven-ESG,3
BE,Deaths,2021-05-31,UMass-MechBayes,3
BE,Deaths,2021-05-31,MUNI-ARIMA,3
BE,Deaths,2021-06-07,RobertWalraven-ESG,3
BE,Deaths,2021-06-07,UMass-MechBayes,3
BE,Deaths,2021-06-07,MUNI-ARIMA,3
BE,Deaths,2021-06-14,IEM_Health-CovidProject,3
BE,Deaths,2021-06-14,UMass-MechBayes,3
BE,Deaths,2021-06-14,UMass-SemiMech,3
BE,Deaths,2021-06-21,IEM_Health-CovidProject,3
BE,Deaths,2021-06-21,RobertWalraven-ESG,3
BE,Deaths,2021-06-21,UMass-MechBayes,3
BE,Deaths,2021-06-28,epiforecasts-EpiNow2,3
BE,Deaths,2021-06-28,UMass-MechBayes,3
BE,Deaths,2021-06-28,UMass-SemiMech,3
BE,Deaths,2021-07-05,epiforecasts-EpiNow2,3
BE,Deaths,2021-07-05,UMass-MechBayes,3
BE,Deaths,2021-07-05,UMass-SemiMech,3
BE,Deaths,2021-07-12,IEM_Health-CovidProject,3
BE,Deaths,2021-07-12,epiforecasts-EpiNow2,3
BE,Deaths,2021-07-12,UMass-MechBayes,3
BE,Deaths,2021-07-19,IEM_Health-CovidProject,3
BE,Deaths,2021-07-19,epiforecasts-EpiNow2,3
BE,Deaths,2021-07-19,UMass-MechBayes,3
BE,Deaths,2021-07-26,IEM_Health-CovidProject,3
BE,Deaths,2021-07-26,RobertWalraven-ESG,3
BE,Deaths,2021-07-26,UMass-MechBayes,3
BE,Deaths,2021-08-02,RobertWalraven-ESG,3
BE,Deaths,2021-08-02,UMass-MechBayes,3
BE,Deaths,2021-08-02,MUNI-ARIMA,3
BE,Deaths,2021-08-09,RobertWalraven-ESG,3
BE,Deaths,2021-08-09,UMass-MechBayes,3
BE,Deaths,2021-08-09,MUNI-ARIMA,3
BE,Deaths,2021-08-16,RobertWalraven-ESG,3
BE,Deaths,2021-08-16,epiforecasts-EpiNow2,3
BE,Deaths,2021-08-16,Karlen-pypm,3
BE,Deaths,2021-08-23,RobertWalraven-ESG,3
BE,Deaths,2021-08-23,epiforecasts-EpiNow2,3
BE,Deaths,2021-08-23,Karlen-pypm,3
BE,Deaths,2021-08-30,RobertWalraven-ESG,3
BE,Deaths,2021-08-30,epiforecasts-EpiNow2,3
BE,Deaths,2021-08-30,Karlen-pypm,3
BE,Deaths,2021-09-06,RobertWalraven-ESG,3
BE,Deaths,2021-09-06,epiforecasts-EpiNow2,3
BE,Deaths,2021-09-06,Karlen-pypm,3
BE,Deaths,2021-09-13,RobertWalraven-ESG,3
BE,Deaths,2021-09-13,epiforecasts-EpiNow2,3
