model,location,target_type,forecast_date,horizon,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,target_end_date
ILM-EKF,BG,Cases,2021-03-15,4,26026.8452173913,16078.8260869565,0,9948.01913043478,0.9,0,1,41347,2021-04-10
epiforecasts-EpiExpert,BG,Cases,2021-03-15,4,26608.422173913,20775.1739130435,0,5833.24826086957,1,0,0,39607,2021-04-10
epiforecasts-EpiNow2,BG,Cases,2021-03-15,4,25350.0886956522,16520,0,8830.08869565218,0.95,0,0,40520,2021-04-10
EuroCOVIDhub-baseline,BG,Deaths,2021-03-15,1,60.3860869565217,0,54.0434782608696,6.34260869565217,-0.9,0,1,91,2021-03-20
IEM_Health-CovidProject,BG,Deaths,2021-03-15,1,84.585652173913,0,10.2608695652174,74.3247826086957,-0.3,1,1,102,2021-03-20
ILM-EKF,BG,Deaths,2021-03-15,1,91.5413043478261,19.0869565217391,0,72.454347826087,0.4,1,1,131,2021-03-20
RobertWalraven-ESG,BG,Deaths,2021-03-15,1,56.4060869565217,0,43.0434782608696,13.3626086956522,-0.9,0,1,96,2021-03-20
epiforecasts-EpiExpert,BG,Deaths,2021-03-15,1,71.1417391304348,16.3913043478261,0,54.7504347826087,0.4,1,1,107,2021-03-20
epiforecasts-EpiNow2,BG,Deaths,2021-03-15,1,61.9417391304348,28.9565217391304,0,32.9852173913044,0.6,0,1,114,2021-03-20
EuroCOVIDhub-baseline,BG,Deaths,2021-03-15,2,27.3156521739131,0,13.6086956521739,13.7069565217391,-0.6,0,1,43,2021-03-27
IEM_Health-CovidProject,BG,Deaths,2021-03-15,2,131.060434782609,10.1739130434783,0,120.88652173913,0.2,1,1,120,2021-03-27
ILM-EKF,BG,Deaths,2021-03-15,2,282.144782608696,178,0,104.144782608696,0.9,0,1,484,2021-03-27
RobertWalraven-ESG,BG,Deaths,2021-03-15,2,15.6347826086957,0,0.130434782608696,15.504347826087,-0.1,1,1,3,2021-03-27
epiforecasts-EpiExpert,BG,Deaths,2021-03-15,2,332.615652173913,224.04347826087,0,108.572173913043,0.9,0,1,557,2021-03-27
epiforecasts-EpiNow2,BG,Deaths,2021-03-15,2,320.917391304348,256.086956521739,0,64.8304347826087,0.98,0,0,486,2021-03-27
EuroCOVIDhub-baseline,BG,Deaths,2021-03-15,3,136.556956521739,0,116.347826086957,20.2091304347826,-0.9,0,1,216,2021-04-03
IEM_Health-CovidProject,BG,Deaths,2021-03-15,3,203.908695652174,13.7391304347826,0,190.169565217391,0.2,1,1,172,2021-04-03
ILM-EKF,BG,Deaths,2021-03-15,3,427.116956521739,263.478260869565,0,163.638695652174,0.9,0,1,726,2021-04-03
RobertWalraven-ESG,BG,Deaths,2021-03-15,3,124.618695652174,0,106.782608695652,17.8360869565217,-0.98,0,0,186,2021-04-03
epiforecasts-EpiExpert,BG,Deaths,2021-03-15,3,441.709130434783,263.347826086957,0,178.361304347826,0.8,0,1,751,2021-04-03
epiforecasts-EpiNow2,BG,Deaths,2021-03-15,3,478.171739130435,344.347826086957,0,133.823913043478,0.95,0,0,752,2021-04-03
EuroCOVIDhub-baseline,BG,Deaths,2021-03-15,4,120.911304347826,0,95.2608695652174,25.6504347826087,-0.9,0,1,203,2021-04-10
IEM_Health-CovidProject,BG,Deaths,2021-03-15,4,354.907826086957,65.9565217391304,0,288.951304347826,0.4,1,1,467,2021-04-10
ILM-EKF,BG,Deaths,2021-03-15,4,804.43,526.695652173913,0,277.734347826087,0.9,0,1,1304,2021-04-10
RobertWalraven-ESG,BG,Deaths,2021-03-15,4,166.040869565217,0,146.086956521739,19.9539130434783,-1,0,0,236,2021-04-10
epiforecasts-EpiExpert,BG,Deaths,2021-03-15,4,692.389130434783,423.782608695652,0,268.60652173913,0.9,0,1,1137,2021-04-10
epiforecasts-EpiNow2,BG,Deaths,2021-03-15,4,886.146086956522,618.217391304348,0,267.928695652174,0.9,0,1,1387,2021-04-10
EuroCOVIDhub-baseline,CY,Cases,2021-03-15,1,77.115652173913,48.6086956521739,0,28.5069565217391,0.7,0,1,106,2021-03-20
IEM_Health-CovidProject,CY,Cases,2021-03-15,1,661.172608695652,577.434782608696,0,83.7378260869565,1,0,0,913,2021-03-20
ILM-EKF,CY,Cases,2021-03-15,1,216.447826086957,21.2173913043478,0,195.230434782609,0.3,1,1,230,2021-03-20
epiforecasts-EpiExpert,CY,Cases,2021-03-15,1,357.276086956522,188.391304347826,0,168.884782608696,0.7,0,1,649,2021-03-20
epiforecasts-EpiNow2,CY,Cases,2021-03-15,1,637.38347826087,322.913043478261,0,314.470434782609,0.7,0,1,1141,2021-03-20
EuroCOVIDhub-baseline,CY,Cases,2021-03-15,2,136.900869565217,71.8260869565217,0,65.0747826086957,0.6,0,1,206,2021-03-27
IEM_Health-CovidProject,CY,Cases,2021-03-15,2,1657.09869565217,1487.73913043478,0,169.359565217391,1,0,0,2112,2021-03-27
ILM-EKF,CY,Cases,2021-03-15,2,666.516521739131,296.04347826087,0,370.473043478261,0.6,0,1,1157,2021-03-27
epiforecasts-EpiExpert,CY,Cases,2021-03-15,2,1137.65173913043,804.130434782609,0,333.521304347826,0.9,0,1,1889,2021-03-27
epiforecasts-EpiNow2,CY,Cases,2021-03-15,2,1346.08086956522,638,0,708.080869565217,0.7,0,1,2322,2021-03-27
EuroCOVIDhub-baseline,CY,Cases,2021-03-15,3,287.449130434783,0,188.652173913043,98.7969565217391,-0.7,0,1,499,2021-04-03
IEM_Health-CovidProject,CY,Cases,2021-03-15,3,2086.40391304348,1783.4347826087,0,302.969130434783,1,0,0,2821,2021-04-03
ILM-EKF,CY,Cases,2021-03-15,3,964.275217391304,301.782608695652,0,662.492608695652,0.5,1,1,1515,2021-04-03
epiforecasts-EpiExpert,CY,Cases,2021-03-15,3,2005.64739130435,1360.4347826087,0,645.212608695652,0.9,0,1,3312,2021-04-03
epiforecasts-EpiNow2,CY,Cases,2021-03-15,3,1767.09217391304,511.739130434783,0,1255.35304347826,0.5,1,1,2680,2021-04-03
EuroCOVIDhub-baseline,CY,Cases,2021-03-15,4,601.532173913044,0,472.478260869565,129.053913043478,-0.9,0,1,1009,2021-04-10
IEM_Health-CovidProject,CY,Cases,2021-03-15,4,2999.34391304348,2496.26086956522,0,503.083043478261,1,0,0,4104,2021-04-10
