model,target_type,location,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,relative_skill,scaled_rel_skill
IEM_Health-CovidProject,Deaths,FR,3,334.96139632107,142.821764214047,25.9005016722408,166.239130434783,-0.0474247491638796,0.212884615384615,523.480769230769,1.24172403599019,1.12499422578643
IEM_Health-CovidProject,Deaths,FR,4,480.142742474916,195.151939799331,38.3729096989967,246.617892976589,-0.108461538461538,0.184615384615385,735.903846153846,1.3255511702223,1.32218963588311
IEM_Health-CovidProject,Cases,GB,1,57481.9377257525,7327.36163879599,22121.7115384615,28032.864548495,-0.152775919732441,-0.0505769230769231,73057.4807692308,0.729420298493582,0.715328264212529
IEM_Health-CovidProject,Cases,GB,2,100713.921822742,10406.9193143813,36998.7867892977,53308.2157190636,-0.243076923076923,-0.0680769230769231,125698.288461538,0.742570640033651,0.745944659746302
IEM_Health-CovidProject,Cases,GB,3,127386.055434783,17416.2795150502,43480.5192307692,66489.2566889632,-0.246421404682274,-0.0901923076923077,168591.192307692,0.764143651008627,0.870941541408323
IEM_Health-CovidProject,Cases,GB,4,148486.895886288,29925.1818394649,59252.5401337793,59309.1739130435,-0.204615384615385,-0.0678846153846154,210189.923076923,0.802949009213646,1.05381858766434
IEM_Health-CovidProject,Deaths,GB,1,131.097566889632,53.1276672240803,25.8235785953177,52.1463210702341,-0.00394648829431438,-0.210576923076923,210.346153846154,1.04303021209673,0.832862646412758
IEM_Health-CovidProject,Deaths,GB,2,210.869941471572,70.632483277592,37.3561872909699,102.88127090301,-0.074180602006689,-0.141346153846154,334.961538461538,1.16128885804454,0.79429037237665
IEM_Health-CovidProject,Deaths,GB,3,311.935627090301,96.4021822742475,49.8745819397993,165.658862876254,-0.0909030100334448,-0.107115384615385,480.884615384615,1.25035456565552,0.844932031548851
IEM_Health-CovidProject,Deaths,GB,4,424.416086956522,140.329966555184,60.2408026755853,223.845317725753,-0.0858862876254181,-0.0898076923076923,632.673076923077,1.21232670703058,0.913333364468301
