ensid,model,modelid,k
60,MOCOS-agent1,8,12
60,epiforecasts-EpiNow2,9,12
60,UMass-MechBayes,10,12
60,epiforecasts-EpiExpert_direct,11,12
60,Karlen-pypm,12,12
61,EuroCOVIDhub-baseline,1,12
61,ICM-agentModel,2,12
61,IEM_Health-CovidProject,3,12
61,ILM-EKF,4,12
61,ITWW-county_repro,5,12
61,MIMUW-StochSEIR,6,12
61,MIT_CovidAnalytics-DELPHI,7,12
61,MOCOS-agent1,8,12
61,epiforecasts-EpiNow2,9,12
61,UMass-MechBayes,10,12
61,MUNI-ARIMA,11,12
61,Karlen-pypm,12,12
62,EuroCOVIDhub-baseline,1,12
62,ICM-agentModel,2,12
62,IEM_Health-CovidProject,3,12
62,ILM-EKF,4,12
62,ITWW-county_repro,5,12
62,MIMUW-StochSEIR,6,12
62,MIT_CovidAnalytics-DELPHI,7,12
62,MOCOS-agent1,8,12
62,epiforecasts-EpiNow2,9,12
62,epiforecasts-EpiExpert_Rt,10,12
62,epiforecasts-EpiExpert_direct,11,12
62,MUNI-ARIMA,12,12
63,EuroCOVIDhub-baseline,1,12
63,ICM-agentModel,2,12
63,IEM_Health-CovidProject,3,12
63,ILM-EKF,4,12
63,ITWW-county_repro,5,12
63,MIMUW-StochSEIR,6,12
63,MIT_CovidAnalytics-DELPHI,7,12
63,MOCOS-agent1,8,12
63,epiforecasts-EpiNow2,9,12
63,epiforecasts-EpiExpert_Rt,10,12
